Product ID,Reviews,Questions,Total reviews
PID14,"Qasim I.
5 days ago
...
its PTA approved device..
Storage Capacity:64GB, Color Family:Multicolor
8
Raheel A.
2 weeks ago
...
Very Nice Mobile Thanks
اسٹوریج کی صلاحیت:64GB, رنگ:متعدد رنگ
33
1
1
2",76,4
PID15,"I***.
2 weeks ago
...
97% battery, scratch less, excellent condition, just like new.
Color Family:Red
1
1",0,1
PID16,"ANAM Z.
3 weeks ago
...
Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...
Color Family:Space Grey
9
1",0,1
PID17,"Ali H.
2 weeks ago
...
Mobile phone kamal ka. tha bilkul ok piece tha.
Storage Capacity:64GB, Color Family:Black
10
farhat B.
1 hour ago
...
Baki Mobil tu thk ha but battery timing thori fast ha baki best ha thanks draz seller
Storage Capacity:64GB, Color Family:Multicolor
Hamza K.
2 weeks ago
...
bhot hi acha ha atna price ma acha hi atya ha
Storage Capacity:64GB, Color Family:Multicolor
2
1
2
3",35,7
PID18,"3***0
2 weeks ago
...
Deliver in 3 days No warrenty card No handfrees in box Only charger and low quality backcover in box Light weight Pakistan make set sparx Not Techno Spark Neo X But har cheez kam kar rahi hai design Acha hai Color Jo mangwaya wohi aya
Storage Capacity:64GB, Color Family:Maroon
10
3***1
3 weeks ago
...
Bht acha mobile he .Thank you.EXCELLENT Service.Delivered on time.
Storage Capacity:64GB, Color Family:Blue
17
Muhammad M.
3 weeks ago
...
so reasonable so beautiful just like a woo ❤️😊😂 thanks daraz and thnks seller 👍
Storage Capacity:64GB, Color Family:Maroon
8
1
2
3
4
5
6
7",69,19
PID19,"Amjid H.
4 months ago
...
well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks
Seller Response
4 months ago
thank you so much for your order review and rating keep shopping on daraz thank you
Storage Capacity:128GB, Color Family:Black
4
Usman A.
3 weeks ago
...
mobile is 100% genuine....😍 sealed pack.... seller is so much co operative... 🥰 price is very low than other sellers or market....👍 recommended to all....👍👍 thanks 💚
Seller Response
3 weeks ago
thank you so much for your precious order review and rating us keep shopping on daraz ❤️
Storage Capacity:128GB, Color Family:Purple
0***8
2 days ago
...
Great seller, Awesome, thank you so much.recommended seller
Seller Response
2 days ago
thank you so much for your precious order review and rating us keep shopping on daraz ❤️
Storage Capacity:128GB, Color Family:Purple
1
2
3
4
•••
12",28,36
PID20,"3***1
2 days ago
...
it's really was a good experience , mobile phone has a brand new look, it's performance in future will prove it's ultimate quality and cost effectiveness
Storage Capacity:64GB, Color Family:Multicolour
Umer F.
1 day ago
...
The phone is damaged and is not working . Has been a week that I ordered a return request but haven’t received any rider who can pick up the defected piece
Storage Capacity:64GB, Color Family:Multicolour
*******847
3 days ago
...
پلیز سر اپنا چیز واپس لے جاو نہیں چاے ہم
Storage Capacity:64GB, Color Family:Multicolour
2
1
2
3
4",50,11
PID21,"3***6
3 weeks ago
...
waqt se pehly Dilevry hogai. mob b new he. jazakallah dear
Storage Capacity:256GB, Color Family:Blue
3
1",22,2
PID22,"3***9
3 months ago
...
honest seller fast shipping phone is very good camera results also nice all over good phone and I ordered again
Storage Capacity:128GB, Color Family:Green
15
2
reeb
1 day ago
...
Original product, good service and quick delivery.
Storage Capacity:128GB, Color Family:Black
1
Ahmed
2 weeks ago
...
Seller is very Good person.It delivered in just 22hours and Phone is very good 👍 Same as shown and Very Affordable phone .Very Recommended
Storage Capacity:128GB, Color Family:Black
6
1
2
3
4
•••
16",49,47
PID23,"Faheem Y.
7 months ago
...
Deliver on time good product 👍
Storage Capacity:128GB, Color Family:Grey
3
Waqar B.
3 months ago
...
Product quality is good as per the expectations, its value for money. But price is comparatively bit high as per the market.
Storage Capacity:128GB, Color Family:Grey
3
daud A.
2 months ago
...
original product delivered .... reliable seller ....... timely delivered ....!
Storage Capacity:128GB, Color Family:Grey
4
1
2
3
4
•••
8",25,24
